# lba,c,h,s
137604,134,0,194
137606,134,0,195
137634,134,0,209
137636,134,0,210
138618,135,0,189
138620,135,0,190
138622,135,0,191
138624,135,0,192
138626,135,0,193
138628,135,0,194
138630,135,0,195
138654,135,0,207
138656,135,0,208
138658,135,0,209
138660,135,0,210
139640,136,0,188
139642,136,0,189
139644,136,0,190
139650,136,0,193
139652,136,0,194
139654,136,0,195
139656,136,0,196
139658,136,0,197
139676,136,0,206
139678,136,0,207
139680,136,0,208
139682,136,0,209
139684,136,0,210
140662,137,0,187
140664,137,0,188
140666,137,0,189
140668,137,0,190
140680,137,0,196
140682,137,0,197
140684,137,0,198
140700,137,0,206
140702,137,0,207
140704,137,0,208
141686,138,0,187
141688,138,0,188
141690,138,0,189
141692,138,0,190
141706,138,0,197
141708,138,0,198
141710,138,0,199
141724,138,0,206
141726,138,0,207
141728,138,0,208
142710,139,0,187
142712,139,0,188
142714,139,0,189
142716,139,0,190
142730,139,0,197
142732,139,0,198
142734,139,0,199
142736,139,0,200
142738,139,0,201
142744,139,0,204
142746,139,0,205
142748,139,0,206
142836,139,0,250
142838,139,0,251
143736,140,0,188
143738,140,0,189
143754,140,0,197
143756,140,0,198
143758,140,0,199
143760,140,0,200
143762,140,0,201
143766,140,0,203
143768,140,0,204
143770,140,0,205
143772,140,0,206
143860,140,0,250
143862,140,0,251
144760,141,0,188
144762,141,0,189
144782,141,0,199
144784,141,0,200
144786,141,0,201
144788,141,0,202
144790,141,0,203
144792,141,0,204
144794,141,0,205
144880,141,0,248
144884,141,0,250
145782,142,0,187
145784,142,0,188
145786,142,0,189
145810,142,0,201
145812,142,0,202
145814,142,0,203
145816,142,0,204
145904,142,0,248
145906,142,0,249
145908,142,0,250
146806,143,0,187
146808,143,0,188
146810,143,0,189
146812,143,0,190
146814,143,0,191
146816,143,0,192
146832,143,0,200
146834,143,0,201
146836,143,0,202
146926,143,0,247
146928,143,0,248
146930,143,0,249
146932,143,0,250
147830,144,0,187
147832,144,0,188
147834,144,0,189
147836,144,0,190
147838,144,0,191
147840,144,0,192
147842,144,0,193
147858,144,0,201
147860,144,0,202
147950,144,0,247
147952,144,0,248
147954,144,0,249
148862,145,0,191
148864,145,0,192
148974,145,0,247
148976,145,0,248
148978,145,0,249
149886,146,0,191
149888,146,0,192
149890,146,0,193
149998,146,0,247
150000,146,0,248
150908,147,0,190
150910,147,0,191
150912,147,0,192
150914,147,0,193
150916,147,0,194
150918,147,0,195
150920,147,0,196
151022,147,0,247
151024,147,0,248
151934,148,0,191
151936,148,0,192
151938,148,0,193
151940,148,0,194
151942,148,0,195
151944,148,0,196
152044,148,0,246
152046,148,0,247
152048,148,0,248
152966,149,0,195
152968,149,0,196
153068,149,0,246
153070,149,0,247
153072,149,0,248
153126,149,0,275
153992,150,0,196
154092,150,0,246
154094,150,0,247
154096,150,0,248
154150,150,0,275
155114,151,0,245
155116,151,0,246
155118,151,0,247
155120,151,0,248
155122,151,0,249
155124,151,0,250
155126,151,0,251
155128,151,0,252
155172,151,0,274
155174,151,0,275
156138,152,0,245
156140,152,0,246
156142,152,0,247
156150,152,0,251
156152,152,0,252
156196,152,0,274
156198,152,0,275
156214,152,0,283
156216,152,0,284
156218,152,0,285
157160,153,0,244
157162,153,0,245
157164,153,0,246
157166,153,0,247
157174,153,0,251
157176,153,0,252
157178,153,0,253
157180,153,0,254
157182,153,0,255
157184,153,0,256
157220,153,0,274
157238,153,0,283
157240,153,0,284
157242,153,0,285
158184,154,0,244
158186,154,0,245
158200,154,0,252
158202,154,0,253
158204,154,0,254
158206,154,0,255
158208,154,0,256
158244,154,0,274
158246,154,0,275
158262,154,0,283
158264,154,0,284
158266,154,0,285
159208,155,0,244
159230,155,0,255
159232,155,0,256
159234,155,0,257
159268,155,0,274
159270,155,0,275
159290,155,0,285
160232,156,0,244
160256,156,0,256
160258,156,0,257
160260,156,0,258
160286,156,0,271
160288,156,0,272
160290,156,0,273
160292,156,0,274
160314,156,0,285
160338,156,0,297
161196,157,0,214
161198,157,0,215
161200,157,0,216
161202,157,0,217
161212,157,0,222
161214,157,0,223
161216,157,0,224
161218,157,0,225
161220,157,0,226
161222,157,0,227
161256,157,0,244
161280,157,0,256
161282,157,0,257
161310,157,0,271
161312,157,0,272
161314,157,0,273
161316,157,0,274
161336,157,0,284
161338,157,0,285
161362,157,0,297
162222,158,0,215
162224,158,0,216
162226,158,0,217
162228,158,0,218
162230,158,0,219
162232,158,0,220
162234,158,0,221
162236,158,0,222
162238,158,0,223
162240,158,0,224
162242,158,0,225
162244,158,0,226
162246,158,0,227
162248,158,0,228
162250,158,0,229
162252,158,0,230
162254,158,0,231
162278,158,0,243
162280,158,0,244
162304,158,0,256
162306,158,0,257
162334,158,0,271
162336,158,0,272
162338,158,0,273
162360,158,0,284
162362,158,0,285
162384,158,0,296
162386,158,0,297
163256,159,0,220
163258,159,0,221
163266,159,0,225
163268,159,0,226
163270,159,0,227
163272,159,0,228
163274,159,0,229
163276,159,0,230
163278,159,0,231
163302,159,0,243
163304,159,0,244
163328,159,0,256
163330,159,0,257
163332,159,0,258
163358,159,0,271
163360,159,0,272
163380,159,0,282
163382,159,0,283
163384,159,0,284
163408,159,0,296
163410,159,0,297
163414,159,0,299
163416,159,0,300
163418,159,0,301
163420,159,0,302
164300,160,0,230
164302,160,0,231
164326,160,0,243
164354,160,0,257
164356,160,0,258
164380,160,0,270
164382,160,0,271
164384,160,0,272
164404,160,0,282
164406,160,0,283
164408,160,0,284
164432,160,0,296
164434,160,0,297
164438,160,0,299
164440,160,0,300
164442,160,0,301
164444,160,0,302
164446,160,0,303
164464,160,0,312
165378,161,0,257
165380,161,0,258
165404,161,0,270
165406,161,0,271
165408,161,0,272
165426,161,0,281
165428,161,0,282
165430,161,0,283
165432,161,0,284
165456,161,0,296
165458,161,0,297
165460,161,0,298
165462,161,0,299
165464,161,0,300
165466,161,0,301
165468,161,0,302
165484,161,0,310
165486,161,0,311
165488,161,0,312
165490,161,0,313
165492,161,0,314
165494,161,0,315
165496,161,0,316
166402,162,0,257
166428,162,0,270
166430,162,0,271
166432,162,0,272
166450,162,0,281
166452,162,0,282
166454,162,0,283
166456,162,0,284
166480,162,0,296
166482,162,0,297
166484,162,0,298
166490,162,0,301
166492,162,0,302
166494,162,0,303
166508,162,0,310
166510,162,0,311
166518,162,0,315
166520,162,0,316
166522,162,0,317
167426,163,0,257
167452,163,0,270
167454,163,0,271
167474,163,0,281
167476,163,0,282
167478,163,0,283
167480,163,0,284
167502,163,0,295
167504,163,0,296
167506,163,0,297
167508,163,0,298
167518,163,0,303
167520,163,0,304
167522,163,0,305
167528,163,0,308
167530,163,0,309
167532,163,0,310
167534,163,0,311
167542,163,0,315
167544,163,0,316
168448,164,0,256
168450,164,0,257
168476,164,0,270
168478,164,0,271
168496,164,0,280
168498,164,0,281
168500,164,0,282
168502,164,0,283
168526,164,0,295
168528,164,0,296
168540,164,0,302
168542,164,0,303
168544,164,0,304
168546,164,0,305
168550,164,0,307
168552,164,0,308
168554,164,0,309
168556,164,0,310
168566,164,0,315
168568,164,0,316
169472,165,0,256
169474,165,0,257
169498,165,0,269
169500,165,0,270
169502,165,0,271
169520,165,0,280
169522,165,0,281
169524,165,0,282
169550,165,0,295
169552,165,0,296
169566,165,0,303
169568,165,0,304
169570,165,0,305
169572,165,0,306
169574,165,0,307
169576,165,0,308
169578,165,0,309
169588,165,0,314
169590,165,0,315
169592,165,0,316
170496,166,0,256
170524,166,0,270
170526,166,0,271
170528,166,0,272
170530,166,0,273
170532,166,0,274
170534,166,0,275
170536,166,0,276
170540,166,0,278
170542,166,0,279
170544,166,0,280
170546,166,0,281
170548,166,0,282
170574,166,0,295
170592,166,0,304
170594,166,0,305
170596,166,0,306
170598,166,0,307
170600,166,0,308
170602,166,0,309
170612,166,0,314
170614,166,0,315
170616,166,0,316
170730,166,0,373
170732,166,0,374
170734,166,0,375
171556,167,0,274
171558,167,0,275
171560,167,0,276
171562,167,0,277
171564,167,0,278
171566,167,0,279
171568,167,0,280
171570,167,0,281
171572,167,0,282
171574,167,0,283
171598,167,0,295
171600,167,0,296
171618,167,0,305
171620,167,0,306
171636,167,0,314
171638,167,0,315
171640,167,0,316
171666,167,0,329
171668,167,0,330
171670,167,0,331
171754,167,0,373
171756,167,0,374
171758,167,0,375
171760,167,0,376
172596,168,0,282
172598,168,0,283
172620,168,0,294
172622,168,0,295
172624,168,0,296
172626,168,0,297
172642,168,0,305
172644,168,0,306
172660,168,0,314
172662,168,0,315
172688,168,0,328
172690,168,0,329
172692,168,0,330
172694,168,0,331
172696,168,0,332
172698,168,0,333
172778,168,0,373
172780,168,0,374
172782,168,0,375
172784,168,0,376
172786,168,0,377
173620,169,0,282
173644,169,0,294
173646,169,0,295
173648,169,0,296
173650,169,0,297
173666,169,0,305
173668,169,0,306
173684,169,0,314
173686,169,0,315
173708,169,0,326
173712,169,0,328
173714,169,0,329
173716,169,0,330
173720,169,0,332
173804,169,0,374
173806,169,0,375
173808,169,0,376
174640,170,0,280
174642,170,0,281
174644,170,0,282
174668,170,0,294
174670,170,0,295
174672,170,0,296
174674,170,0,297
174690,170,0,305
174692,170,0,306
174706,170,0,313
174708,170,0,314
174710,170,0,315
174728,170,0,324
174730,170,0,325
174732,170,0,326
174734,170,0,327
174736,170,0,328
174738,170,0,329
174740,170,0,330
174744,170,0,332
175664,171,0,280
175666,171,0,281
175668,171,0,282
175692,171,0,294
175694,171,0,295
175696,171,0,296
175714,171,0,305
175716,171,0,306
175730,171,0,313
175732,171,0,314
175734,171,0,315
175750,171,0,323
175752,171,0,324
175754,171,0,325
175756,171,0,326
175758,171,0,327
175766,171,0,331
175768,171,0,332
175800,171,0,348
175802,171,0,349
176716,172,0,294
176718,172,0,295
176720,172,0,296
176738,172,0,305
176754,172,0,313
176756,172,0,314
176774,172,0,323
176776,172,0,324
176778,172,0,325
176780,172,0,326
176782,172,0,327
176790,172,0,331
176792,172,0,332
176824,172,0,348
176826,172,0,349
177738,173,0,293
177740,173,0,294
177742,173,0,295
177744,173,0,296
177762,173,0,305
177778,173,0,313
177780,173,0,314
177782,173,0,315
177798,173,0,323
177814,173,0,331
177816,173,0,332
177846,173,0,347
177848,173,0,348
177850,173,0,349
178762,174,0,293
178764,174,0,294
178766,174,0,295
178768,174,0,296
178784,174,0,304
178786,174,0,305
178804,174,0,314
178806,174,0,315
178822,174,0,323
178838,174,0,331
178868,174,0,346
178870,174,0,347
178872,174,0,348
178874,174,0,349
179786,175,0,293
179788,175,0,294
179790,175,0,295
179792,175,0,296
179808,175,0,304
179810,175,0,305
179828,175,0,314
179830,175,0,315
179846,175,0,323
179848,175,0,324
179850,175,0,325
179862,175,0,331
179892,175,0,346
179894,175,0,347
179896,175,0,348
179898,175,0,349
179900,175,0,350
180810,176,0,293
180812,176,0,294
180814,176,0,295
180832,176,0,304
180852,176,0,314
180854,176,0,315
180870,176,0,323
180872,176,0,324
180874,176,0,325
180876,176,0,326
180884,176,0,330
180886,176,0,331
180916,176,0,346
180918,176,0,347
180920,176,0,348
180922,176,0,349
180924,176,0,350
180926,176,0,351
180928,176,0,352
180930,176,0,353
180932,176,0,354
180934,176,0,355
181834,177,0,293
181836,177,0,294
181838,177,0,295
181876,177,0,314
181896,177,0,324
181898,177,0,325
181900,177,0,326
181902,177,0,327
181904,177,0,328
181906,177,0,329
181908,177,0,330
181910,177,0,331
